1,DayPillar,TimePillar,
1,MonthPillar,DayPillar,
1,MonthPillar,TimePillar,
1,YearPillar,DayPillar,
1,YearPillar,MonthPillar,
1,YearPillar,TimePillar,
2,DayPillar,TimePillar,
2,MonthPillar,DayPillar,
2,MonthPillar,TimePillar,
2,YearPillar,DayPillar,
2,YearPillar,MonthPillar,
2,YearPillar,TimePillar,
3,DayPillar,TimePillar,
3,MonthPillar,DayPillar,
3,MonthPillar,TimePillar,
3,YearPillar,DayPillar,
3,YearPillar,MonthPillar,
3,YearPillar,TimePillar,
4,DayPillar,TimePillar,
4,MonthPillar,DayPillar,
4,MonthPillar,TimePillar,
4,YearPillar,DayPillar,
4,YearPillar,MonthPillar,
4,YearPillar,TimePillar,
5,DayPillar,TimePillar,
5,MonthPillar,DayPillar,
5,MonthPillar,TimePillar,
5,YearPillar,DayPillar,
5,YearPillar,MonthPillar,
5,YearPillar,TimePillar,
6,DayPillar,TimePillar,
6,MonthPillar,DayPillar,
6,MonthPillar,TimePillar,
6,YearPillar,DayPillar,
6,YearPillar,MonthPillar,
6,YearPillar,TimePillar,
7,MonthPillar,DayPillar,TimePillar
7,YearPillar,DayPillar,TimePillar
7,YearPillar,MonthPillar,DayPillar
7,YearPillar,MonthPillar,TimePillar
