1,3
1,4
1,5
1,9
1,10
1,11
1,6
1,12
2,1
2,2
2,7
2,8
3,5
3,7
3,10
3,12
4,3
4,6
5,11
5,2
6,9
7,1
7,4
8,8
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
12,12
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
16,3
16,6
16,9
16,12
17,1
17,4
17,7
17,10
18,2
18,5
18,8
18,11

19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
20,1
20,3
20,4
21,2
22,5
22,7
23,6
23,10
23,12
23,9
23,11
24,8
25,1
25,4
25,7
25,10
26,3
26,6
26,9
26,12
27,2
27,5
27,8
27,11
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,12
